run_id,experiment,family,variant,variant_group,target,model,roc_auc_mean,roc_auc_std,bal_accuracy_mean,bal_accuracy_std,naive_accuracy,pred_positive_pct,n_samples,n_features,delta_auc_vs_baseline,delta_bal_acc_vs_baseline
run_20260407_225709,baseline,baseline,M1_text,text,label_1w,logistic_regression,0.516209657551121,0.032400082731737764,0.5114529440748953,0.030142850429571127,0.5223529411764706,52.9,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1w,ridge,0.5303922148312392,0.036579007277232935,0.5288858093126386,0.053208663587777615,0.5223529411764706,55.8,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1w,random_forest,0.6071177629958118,0.05439002918620882,0.6014849716678985,0.05857195735079911,0.5223529411764706,56.9,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1w,xgboost,0.5862463661000247,0.032826326747048246,0.5728757083025375,0.03782861947524207,0.5223529411764706,57.4,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1w,logistic_regression,0.5915883141516564,0.045299325428304504,0.5752678161411315,0.027735739517907036,0.5183752417794971,57.6,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1w,ridge,0.596301473209829,0.05705824404790793,0.5645368302457252,0.05887386438407853,0.5183752417794971,49.9,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1w,random_forest,0.608164905375148,0.07709057973480679,0.5782140076156248,0.06536932666750397,0.5183752417794971,54.5,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1w,xgboost,0.583969665853763,0.05290870941545983,0.5548647299590697,0.05911231124406382,0.5183752417794971,53.8,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1w,logistic_regression,0.5102227149544223,0.029782829894600984,0.503220620842572,0.02720208765010369,0.5223529411764706,55.1,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1w,ridge,0.5126166543483617,0.0598621068740131,0.5211228135008622,0.04233303443715364,0.5223529411764706,52.5,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1w,random_forest,0.5943594481399359,0.05454729007554739,0.5850665188470067,0.06413197393929632,0.5223529411764706,56.7,425,430,0.0,0.0
