direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,P1_v2_text_pca,label_6m,logistic_regression,237,188,0.481,0.165,0.7748,0.5782,0.1966,0.5379,38.8
A_to_B,P1_v2_text_pca,label_6m,ridge,237,188,0.481,0.165,0.7957,0.5597,0.2361,0.5347,39.4
A_to_B,P1_v2_text_pca,label_6m,random_forest,237,188,0.481,0.165,0.997,0.5159,0.4811,0.4861,34.6
A_to_B,P1_v2_text_pca,label_6m,xgboost,237,188,0.481,0.165,1.0,0.5192,0.4808,0.5322,49.5
A_to_B,P2_v2_structured,label_6m,logistic_regression,258,259,0.481,0.193,0.7569,0.4984,0.2585,0.5278,35.5
A_to_B,P2_v2_structured,label_6m,ridge,258,259,0.481,0.193,0.7854,0.527,0.2584,0.5343,42.5
A_to_B,P2_v2_structured,label_6m,random_forest,258,259,0.481,0.193,0.9494,0.4672,0.4822,0.4623,20.1
A_to_B,P2_v2_structured,label_6m,xgboost,258,259,0.481,0.193,0.9991,0.531,0.4681,0.526,27.8
A_to_B,P3_v2_combined_pca,label_6m,logistic_regression,237,188,0.481,0.165,0.8624,0.533,0.3295,0.509,40.4
A_to_B,P3_v2_combined_pca,label_6m,ridge,237,188,0.481,0.165,0.9,0.5519,0.3481,0.5582,54.8
A_to_B,P3_v2_combined_pca,label_6m,random_forest,237,188,0.481,0.165,0.9989,0.467,0.5318,0.4915,17.6
A_to_B,P3_v2_combined_pca,label_6m,xgboost,237,188,0.481,0.165,1.0,0.4572,0.5428,0.4764,33.0
B_to_A,P1_v2_text_pca,label_6m,logistic_regression,188,237,0.165,0.481,0.8936,0.5048,0.3887,0.4903,30.0
B_to_A,P1_v2_text_pca,label_6m,ridge,188,237,0.165,0.481,0.8706,0.5071,0.3635,0.4944,7.6
B_to_A,P1_v2_text_pca,label_6m,random_forest,188,237,0.165,0.481,1.0,0.5154,0.4846,0.4919,0.8
B_to_A,P1_v2_text_pca,label_6m,xgboost,188,237,0.165,0.481,1.0,0.5242,0.4758,0.4944,7.6
B_to_A,P2_v2_structured,label_6m,logistic_regression,259,258,0.193,0.481,0.8109,0.5022,0.3086,0.4887,31.0
B_to_A,P2_v2_structured,label_6m,ridge,259,258,0.193,0.481,0.8283,0.4786,0.3496,0.5033,8.5
B_to_A,P2_v2_structured,label_6m,random_forest,259,258,0.193,0.481,0.9817,0.4652,0.5165,0.49,4.3
B_to_A,P2_v2_structured,label_6m,xgboost,259,258,0.193,0.481,0.9989,0.4528,0.5461,0.502,15.1
B_to_A,P3_v2_combined_pca,label_6m,logistic_regression,188,237,0.165,0.481,0.9702,0.5056,0.4646,0.4758,25.3
B_to_A,P3_v2_combined_pca,label_6m,ridge,188,237,0.165,0.481,0.9838,0.4437,0.54,0.4961,23.2
B_to_A,P3_v2_combined_pca,label_6m,random_forest,188,237,0.165,0.481,1.0,0.4886,0.5114,0.5,0.0
B_to_A,P3_v2_combined_pca,label_6m,xgboost,188,237,0.165,0.481,1.0,0.4939,0.5061,0.5261,13.1
