direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,E1_text_enhanced,label_1m,logistic_regression,237,188,0.54,0.436,0.998,0.5836,0.4144,0.536,56.9
A_to_B,E1_text_enhanced,label_1m,ridge,237,188,0.54,0.436,1.0,0.5245,0.4755,0.4961,55.3
A_to_B,E1_text_enhanced,label_1m,random_forest,237,188,0.54,0.436,1.0,0.5885,0.4115,0.561,55.3
A_to_B,E1_text_enhanced,label_1m,xgboost,237,188,0.54,0.436,1.0,0.5414,0.4586,0.5122,51.1
A_to_B,E2_structured_enhanced,label_1m,logistic_regression,258,259,0.535,0.417,0.7819,0.5704,0.2115,0.5692,38.2
A_to_B,E2_structured_enhanced,label_1m,ridge,258,259,0.535,0.417,0.8309,0.5867,0.2442,0.5863,52.9
A_to_B,E2_structured_enhanced,label_1m,random_forest,258,259,0.535,0.417,0.9446,0.5451,0.3995,0.5453,47.5
A_to_B,E2_structured_enhanced,label_1m,xgboost,258,259,0.535,0.417,0.9902,0.5227,0.4675,0.5076,51.0
A_to_B,E3_combined_enhanced,label_1m,logistic_regression,237,188,0.54,0.436,0.9997,0.5589,0.4408,0.5671,55.9
A_to_B,E3_combined_enhanced,label_1m,ridge,237,188,0.54,0.436,1.0,0.5102,0.4898,0.5205,57.4
A_to_B,E3_combined_enhanced,label_1m,random_forest,237,188,0.54,0.436,0.9999,0.5924,0.4075,0.5372,49.5
A_to_B,E3_combined_enhanced,label_1m,xgboost,237,188,0.54,0.436,1.0,0.564,0.436,0.5244,52.1
B_to_A,E1_text_enhanced,label_1m,logistic_regression,188,237,0.436,0.54,0.9994,0.5644,0.435,0.5548,63.7
B_to_A,E1_text_enhanced,label_1m,ridge,188,237,0.436,0.54,1.0,0.5429,0.4571,0.4962,57.4
B_to_A,E1_text_enhanced,label_1m,random_forest,188,237,0.436,0.54,1.0,0.6078,0.3922,0.5697,45.1
B_to_A,E1_text_enhanced,label_1m,xgboost,188,237,0.436,0.54,1.0,0.6302,0.3698,0.5983,51.9
B_to_A,E2_structured_enhanced,label_1m,logistic_regression,259,258,0.417,0.535,0.8145,0.49,0.3245,0.5087,37.6
B_to_A,E2_structured_enhanced,label_1m,ridge,259,258,0.417,0.535,0.8522,0.4637,0.3885,0.4516,35.7
B_to_A,E2_structured_enhanced,label_1m,random_forest,259,258,0.417,0.535,0.9539,0.5384,0.4155,0.5389,33.3
B_to_A,E2_structured_enhanced,label_1m,xgboost,259,258,0.417,0.535,0.9962,0.514,0.4822,0.5342,51.2
B_to_A,E3_combined_enhanced,label_1m,logistic_regression,188,237,0.436,0.54,1.0,0.5659,0.4341,0.5446,55.3
B_to_A,E3_combined_enhanced,label_1m,ridge,188,237,0.436,0.54,1.0,0.5351,0.4649,0.5285,48.9
B_to_A,E3_combined_enhanced,label_1m,random_forest,188,237,0.436,0.54,1.0,0.6003,0.3997,0.5647,40.9
B_to_A,E3_combined_enhanced,label_1m,xgboost,188,237,0.436,0.54,1.0,0.6077,0.3923,0.5682,52.3
