direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,P1_text_pca,label_1m,logistic_regression,237,188,0.54,0.436,0.8095,0.6343,0.1752,0.5843,44.1
A_to_B,P1_text_pca,label_1m,ridge,237,188,0.54,0.436,0.8064,0.6452,0.1612,0.5954,52.7
A_to_B,P1_text_pca,label_1m,random_forest,237,188,0.54,0.436,0.9989,0.6278,0.3711,0.6272,56.4
A_to_B,P1_text_pca,label_1m,xgboost,237,188,0.54,0.436,1.0,0.5901,0.4099,0.561,55.3
A_to_B,P2_structured,label_1m,logistic_regression,258,259,0.535,0.417,0.7819,0.5704,0.2115,0.5692,38.2
A_to_B,P2_structured,label_1m,ridge,258,259,0.535,0.417,0.8309,0.5867,0.2442,0.5863,52.9
A_to_B,P2_structured,label_1m,random_forest,258,259,0.535,0.417,0.9446,0.5451,0.3995,0.5453,47.5
A_to_B,P2_structured,label_1m,xgboost,258,259,0.535,0.417,0.9902,0.5227,0.4675,0.5076,51.0
A_to_B,P3_combined_pca,label_1m,logistic_regression,237,188,0.54,0.436,0.8817,0.6305,0.2513,0.6156,51.6
A_to_B,P3_combined_pca,label_1m,ridge,237,188,0.54,0.436,0.9121,0.6129,0.2993,0.5997,64.4
A_to_B,P3_combined_pca,label_1m,random_forest,237,188,0.54,0.436,0.9999,0.6297,0.3703,0.6245,54.3
A_to_B,P3_combined_pca,label_1m,xgboost,237,188,0.54,0.436,1.0,0.5844,0.4156,0.5555,51.1
B_to_A,P1_text_pca,label_1m,logistic_regression,188,237,0.436,0.54,0.8188,0.5763,0.2425,0.5254,63.3
B_to_A,P1_text_pca,label_1m,ridge,188,237,0.436,0.54,0.8462,0.5791,0.2671,0.5582,59.5
B_to_A,P1_text_pca,label_1m,random_forest,188,237,0.436,0.54,0.9974,0.6163,0.381,0.5711,43.5
B_to_A,P1_text_pca,label_1m,xgboost,188,237,0.436,0.54,1.0,0.558,0.442,0.5551,52.7
B_to_A,P2_structured,label_1m,logistic_regression,259,258,0.417,0.535,0.8145,0.49,0.3245,0.5087,37.6
B_to_A,P2_structured,label_1m,ridge,259,258,0.417,0.535,0.8522,0.4637,0.3885,0.4516,35.7
B_to_A,P2_structured,label_1m,random_forest,259,258,0.417,0.535,0.9539,0.5384,0.4155,0.5389,33.3
B_to_A,P2_structured,label_1m,xgboost,259,258,0.417,0.535,0.9962,0.514,0.4822,0.5342,51.2
B_to_A,P3_combined_pca,label_1m,logistic_regression,188,237,0.436,0.54,0.9355,0.5449,0.3906,0.5339,42.2
B_to_A,P3_combined_pca,label_1m,ridge,188,237,0.436,0.54,0.9563,0.4982,0.4581,0.4981,39.2
B_to_A,P3_combined_pca,label_1m,random_forest,188,237,0.436,0.54,0.9948,0.5884,0.4064,0.5444,39.7
B_to_A,P3_combined_pca,label_1m,xgboost,188,237,0.436,0.54,1.0,0.5683,0.4317,0.5767,52.3
