direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,E1_text_enhanced,label_6m,logistic_regression,237,188,0.481,0.165,0.9912,0.5126,0.4785,0.484,51.1
A_to_B,E1_text_enhanced,label_6m,ridge,237,188,0.481,0.165,1.0,0.4816,0.5184,0.4583,52.1
A_to_B,E1_text_enhanced,label_6m,random_forest,237,188,0.481,0.165,1.0,0.503,0.497,0.5254,44.1
A_to_B,E1_text_enhanced,label_6m,xgboost,237,188,0.481,0.165,1.0,0.4715,0.5285,0.4611,45.2
A_to_B,E2_structured_enhanced,label_6m,logistic_regression,258,259,0.481,0.193,0.7736,0.4898,0.2838,0.5073,32.8
A_to_B,E2_structured_enhanced,label_6m,ridge,258,259,0.481,0.193,0.8145,0.4545,0.36,0.4556,45.2
A_to_B,E2_structured_enhanced,label_6m,random_forest,258,259,0.481,0.193,0.9505,0.5024,0.4481,0.5189,29.0
A_to_B,E2_structured_enhanced,label_6m,xgboost,258,259,0.481,0.193,0.9992,0.5289,0.4704,0.5378,35.9
A_to_B,E3_combined_enhanced,label_6m,logistic_regression,237,188,0.481,0.165,0.9975,0.4822,0.5153,0.4834,41.5
A_to_B,E3_combined_enhanced,label_6m,ridge,237,188,0.481,0.165,1.0,0.4794,0.5206,0.4899,43.6
A_to_B,E3_combined_enhanced,label_6m,random_forest,237,188,0.481,0.165,0.9998,0.4861,0.5137,0.477,42.6
A_to_B,E3_combined_enhanced,label_6m,xgboost,237,188,0.481,0.165,1.0,0.4814,0.5186,0.4706,43.6
B_to_A,E1_text_enhanced,label_6m,logistic_regression,188,237,0.165,0.481,0.9998,0.4747,0.5251,0.4432,17.3
B_to_A,E1_text_enhanced,label_6m,ridge,188,237,0.165,0.481,1.0,0.4917,0.5083,0.4996,21.1
B_to_A,E1_text_enhanced,label_6m,random_forest,188,237,0.165,0.481,1.0,0.4804,0.5196,0.5,0.0
B_to_A,E1_text_enhanced,label_6m,xgboost,188,237,0.165,0.481,1.0,0.4782,0.5218,0.4941,6.8
B_to_A,E2_structured_enhanced,label_6m,logistic_regression,259,258,0.193,0.481,0.8195,0.4646,0.3549,0.4667,34.1
B_to_A,E2_structured_enhanced,label_6m,ridge,259,258,0.193,0.481,0.843,0.4304,0.4126,0.4874,17.4
B_to_A,E2_structured_enhanced,label_6m,random_forest,259,258,0.193,0.481,0.9818,0.4862,0.4956,0.5027,7.0
B_to_A,E2_structured_enhanced,label_6m,xgboost,259,258,0.193,0.481,0.9992,0.5237,0.4755,0.5138,15.5
B_to_A,E3_combined_enhanced,label_6m,logistic_regression,188,237,0.165,0.481,1.0,0.4667,0.5333,0.452,18.1
B_to_A,E3_combined_enhanced,label_6m,ridge,188,237,0.165,0.481,1.0,0.4563,0.5437,0.477,17.3
B_to_A,E3_combined_enhanced,label_6m,random_forest,188,237,0.165,0.481,1.0,0.4248,0.5752,0.5,0.0
B_to_A,E3_combined_enhanced,label_6m,xgboost,188,237,0.165,0.481,1.0,0.4996,0.5004,0.4894,5.5
