direction,variant,target,model,train_n,test_n,train_pos_rate,test_pos_rate,train_auc,test_auc,auc_drop,test_bal_acc,pred_pos_pct
A_to_B,P1_text_pca,label_1m,logistic_regression,237,188,0.54,0.436,0.8095,0.6343,0.1752,0.5843,44.1
A_to_B,P1_text_pca,label_1m,ridge,237,188,0.54,0.436,0.8019,0.6512,0.1507,0.6001,52.1
A_to_B,P1_text_pca,label_1m,random_forest,237,188,0.54,0.436,0.9902,0.6113,0.3789,0.6078,62.2
A_to_B,P1_text_pca,label_1m,xgboost,237,188,0.54,0.436,0.8907,0.588,0.3027,0.5576,56.9
A_to_B,P2_structured,label_1m,logistic_regression,258,259,0.535,0.417,0.8263,0.5922,0.234,0.591,44.0
A_to_B,P2_structured,label_1m,ridge,258,259,0.535,0.417,0.8211,0.5878,0.2333,0.5844,49.4
A_to_B,P2_structured,label_1m,random_forest,258,259,0.535,0.417,0.9987,0.5543,0.4445,0.5526,54.1
A_to_B,P2_structured,label_1m,xgboost,258,259,0.535,0.417,0.9998,0.5362,0.4636,0.5354,48.6
A_to_B,P3_combined_pca,label_1m,logistic_regression,237,188,0.54,0.436,0.9184,0.6251,0.2934,0.6225,56.9
A_to_B,P3_combined_pca,label_1m,ridge,237,188,0.54,0.436,0.8608,0.6406,0.2202,0.6306,54.8
A_to_B,P3_combined_pca,label_1m,random_forest,237,188,0.54,0.436,1.0,0.6493,0.3507,0.615,55.3
A_to_B,P3_combined_pca,label_1m,xgboost,237,188,0.54,0.436,0.9997,0.5933,0.4064,0.5568,52.1
B_to_A,P1_text_pca,label_1m,logistic_regression,188,237,0.436,0.54,0.8188,0.5763,0.2425,0.5254,63.3
B_to_A,P1_text_pca,label_1m,ridge,188,237,0.436,0.54,0.8153,0.5886,0.2268,0.567,48.5
B_to_A,P1_text_pca,label_1m,random_forest,188,237,0.436,0.54,0.9945,0.6168,0.3776,0.5984,46.4
B_to_A,P1_text_pca,label_1m,xgboost,188,237,0.436,0.54,0.8996,0.5965,0.303,0.5498,54.0
B_to_A,P2_structured,label_1m,logistic_regression,259,258,0.417,0.535,0.841,0.4701,0.3709,0.4828,35.7
B_to_A,P2_structured,label_1m,ridge,259,258,0.417,0.535,0.84,0.4645,0.3755,0.4813,32.2
B_to_A,P2_structured,label_1m,random_forest,259,258,0.417,0.535,0.9991,0.5292,0.4699,0.513,31.4
B_to_A,P2_structured,label_1m,xgboost,259,258,0.417,0.535,1.0,0.5077,0.4923,0.5203,48.8
B_to_A,P3_combined_pca,label_1m,logistic_regression,188,237,0.436,0.54,0.9638,0.5125,0.4512,0.4921,41.4
B_to_A,P3_combined_pca,label_1m,ridge,188,237,0.436,0.54,0.9191,0.5595,0.3596,0.5635,37.1
B_to_A,P3_combined_pca,label_1m,random_forest,188,237,0.436,0.54,0.9982,0.5786,0.4196,0.5562,40.9
B_to_A,P3_combined_pca,label_1m,xgboost,188,237,0.436,0.54,0.9999,0.5441,0.4558,0.5376,48.1
